#Sun Oct 30 08:26:39 2022
# Copy this file into $DB_DIR/gemped to use these pedestals for analysis
# format = crate, slot, mpd, adc_ch, CM mean, CM RMS
          20          11          13          13              0              0
          20          11          13          14         546.67         76.311
          20          11          14           0         514.43         54.088
          20          11          14           1          562.5         60.501
          20          11          14           2         483.37         71.994
          20          11          14           3          484.5         37.081
          20          11          14           4          537.5         9.2376
          20          11          14           5          379.5         28.166
          20          11          14           6         576.83         18.245
          20          11          14           7         610.03         57.418
          20          11          14           8              0              0
          20          11          14           9         562.17         7.0868
          20          11          14          10              0              0
          20          11          14          11         626.83         62.713
          20          11          14          12         621.63         85.032
          20          11          14          13         510.61         48.986
          20          11          14          14         491.39         57.977
          20          11          20           0              0              0
          20          11          20           1              0              0
          20          11          20           2              0              0
          20          11          20           3              0              0
          20          11          20           4              0              0
          20          11          20           5          569.5          51.64
          20          11          20           6              0              0
          20          11          20           7           1179          25.03
          20          11          20           8         514.17           59.5
          20          11          20           9         627.83         71.045
          20          11          20          10         568.83         7.8031
          20          11          20          11          577.1         59.135
          20          11          20          12         461.17         66.836
          20          11          20          13         488.55         103.33
          20          11          20          14         495.77         81.648
          20          11          21           0         436.97         55.625
          20          11          21           1         513.23         86.767
          20          11          21           2         565.43         55.093
          20          11          21           3         426.83         7.5425
          20          11          21           4              0              0
          20          11          21           5         488.06         71.592
          20          11          21           6         445.02         38.785
          20          11          21           7         519.72         34.915
          20          11          21           8            535         26.428
          20          11          21           9         505.28         23.189
          20          11          21          10         489.12         38.474
          20          11          21          11         535.17         36.859
          20          11          21          12         445.61         72.126
          20          11          21          13         582.13         49.169
          20          11          21          14         521.63         63.376
          20          11          22           0         460.17         34.538
          20          11          22           1         430.83          11.47
          20          11          22           2              0              0
          20          11          22           3              0              0
          20          11          22           4         575.69         65.233
          20          11          22           5         506.83         31.041
          20          11          22           6              0              0
          20          11          22           7              0              0
          20          11          22           8         578.83         54.362
          20          11          22           9         368.83         14.314
          20          11          22          10              0              0
          20          11          22          11              0              0
          20          11          22          12         611.39         111.81
          20          11          22          13         468.83          41.36
          20          11          22          14         764.83         117.12
          20          11          23           0         476.31         57.784
          20          11          23           1         505.06         64.434
          20          11          23           2         517.06         64.826
          20          11          23           3         513.28         56.764
          20          11          23           4         549.03         34.826
          20          11          23           5         473.23         34.916
          20          11          23           6         552.26         38.599
          20          11          23           7         589.28         62.025
          20          11          23           8              0              0
          20          11          23           9         393.17         46.575
          20          11          23          10         566.39         37.536
          20          11          23          11         567.06         100.29
          20          11          23          12         517.92         98.047
          20          11          23          13              0              0
          20          11          23          14          586.5         50.256
          20          11           0           0         656.67         85.829
          20          11           0           1         690.48         43.161
