#Sun Oct 30 08:26:39 2022
# Copy file into sbs-onl@sbsvtp#:~/cfg/pedestals for online pedestal subtraction
# format = APV        crate       slot       mpd_id       adc_ch followed by 
# APV channel number      pedestal mean      pedestal rms 
APV               20              11               7               0
              13          -106.9           53.31
              14          -143.1           56.65
              15          -74.88           66.06
              16          -13.19           57.17
              17           -76.1           41.58
              18          -133.8           47.56
              19            -123           59.49
              20          -107.4           38.27
              21          -58.87           78.14
              22          -122.7           41.42
              23          -82.94              59
              24          -93.28           48.16
              25          -105.9           44.93
              26          -133.2           51.38
              27          -74.33           43.82
              28          -102.4           57.95
              29           -69.2           73.75
              30          -133.4           53.92
              31          -100.1           65.06
              32          -45.18           64.07
              33          -86.72           38.02
              34          -119.5           50.04
              35           -86.7           73.12
              36          -110.1           57.48
              37          -88.81           77.37
              38          -155.5           42.77
              39          -75.87           39.35
              40           -84.1           51.79
              41          -91.59           47.12
              42          -112.6           53.53
              43          -79.79           57.18
              44           -84.1           49.37
              45           -98.7           56.34
              46          -132.3           56.28
              47          -104.3           71.25
              48          -80.33           40.59
              49          -35.75           47.14
              50          -67.63           62.98
              51          -148.9           68.36
              52          -112.7           55.93
              53          -133.1           58.57
              54            -164           52.08
              55          -99.36           63.09
              56          -79.34           58.17
              57          -107.4           51.55
              58          -147.4           57.02
              59          -95.36           60.71
              60           -81.9            56.8
              61          -117.5           50.98
              62          -138.3           59.92
              63          -102.8           70.56
              64          -64.92           44.19
              65           -36.2           59.69
              66          -55.88           53.28
              67          -119.1           61.68
              68          -41.69           76.58
              69           1.242           53.41
              70          -100.2           54.14
              71          -119.2           61.52
              72          -48.41           45.26
              73             -36           50.97
              74          -108.3            57.9
              75          -116.5           59.97
              76          -70.79           58.61
              77           -9.75            46.3
              78          -117.8            59.5
              79          -87.85           55.27
              80          -27.24           75.38
              81          -30.61           47.01
              82          -84.67           52.98
              83            -125           62.61
              84          -24.79           60.68
              85          -1.774           57.49
              86          -106.5           51.67
              87          -131.7           59.04
              88           27.56           76.06
              89           32.63           61.07
              90          -73.44           47.21
              91          -75.75           65.91
              92          -4.704           52.46
              93          -31.76            28.7
              94          -143.8           57.62
              95          -92.15           54.23
              96          -41.08           84.27
              97          -31.28           70.24
              98          -114.7           59.64
              99          -111.8           59.42
             100           -30.5           65.53
             101           -17.9           47.62
             102          -94.49            67.5
             103          -119.3           58.35
             104             -17           71.87
             105           88.19           71.91
             106          -103.1           59.27
             107          -99.73           70.41
             108          -28.12           51.43
             109          -70.45           48.67
             110          -127.9           56.77
             111          -94.27           59.55
             112          -92.31           47.75
             113          -81.48           43.92
             114          -85.57           34.82
             115          -110.8           50.75
             116          -60.78           54.86
             117          -37.97           52.34
             118          -108.9           62.54
             119          -126.4           57.71
             120           -52.5           53.05
             121              34           47.81
             122          -107.1           61.12
             123          -65.36           75.38
             124          0.2143           55.65
             125             -65           45.75
             126          -131.5           60.84
             127           -92.7           63.28
APV               20              11               7               3
               0          -101.3           69.97
               1          -123.9            64.7
               2          -152.7           56.47
               3          -80.58           68.61
               4          -87.86           74.29
               5          -129.8           62.12
               6          -123.3            50.8
               7          -144.2           47.36
               8           -90.8           66.76
               9          -157.9           51.94
              10            -153           65.09
              11          -148.9           56.11
              12          -172.4           48.04
              13          -148.5           43.78
              14          -185.5           45.52
              15          -149.7           57.47
              16          -124.5           67.48
              17          -184.5           44.04
              18            -199           59.95
              19          -12.69           49.87
              20          -93.64           58.39
              21          -127.9           58.63
              22          -144.4           74.57
              23          -165.2           42.33
              24          -116.7            60.4
              25          -151.3            52.3
              26          -169.8           48.02
              27            -143           56.88
              28          -144.1           53.35
              29          -167.5           46.39
              30          -164.3           42.56
              31          -156.6            57.1
              32          -148.6           48.71
              33          -149.6           50.24
              34          -164.7           55.49
              35          -123.9           57.86
              36          -90.57           66.24
              37          -146.8           59.44
              38          -167.1           77.21
              39          -142.2           67.88
              40          -134.2           51.83
              41          -152.1           45.55
              42            -160           67.45
